Longtitude,Latitude,Location,Maintainer,Status
49.234947,-123.027254,Aberdeen,Parks,Permanent
49.275858,-123.024141,Adanac,Parks,Permanent
49.285554,-123.142392,Alexandria,Parks,Permanent
49.26098,-123.184759,Almond,Parks,Permanent
49.278811,-123.106194,Andy Livingstone,Parks,Permanent
49.277951,-123.103575,Andy Livingstone,Parks,Permanent
49.262128,-123.155318,Arbutus Greenway,Parks,Permanent
49.248679,-123.157991,Arbutus Village,Parks,Permanent
49.245614,-123.175342,Balaclava,Parks,Permanent
49.255191,-123.050071,Beaconsfield,Parks,Permanent
49.215521,-123.056107,Bobolink,Parks,Permanent
49.24745,-123.066226,Brewers,Parks,Permanent
49.290415,-123.050483,Burrard View,Parks,Permanent
49.256926,-123.172514,Carnarvon,Parks,Permanent
49.237223,-123.097143,Cartier,Parks,Permanent
49.249585,-123.191688,Chaldecott,Parks,Permanent
49.268012,-123.125901,Charleson,Parks,Permanent
49.264372,-123.083134,China Creek North,Parks,Permanent
49.261644,-123.079061,China Creek South,Parks,Permanent
49.270699,-123.050137,Clinton,Parks,Permanent
49.271281,-123.051686,Clinton,Parks,Permanent
49.289871,-123.125385,Coal Harbour,Parks,Permanent
49.236946,-123.03638,Collingwood,Parks,Permanent
49.231825,-123.113005,Columbia,Parks,Permanent
49.262869,-123.159336,Connaught,Parks,Permanent
49.272798,-123.114649,Coopers',Parks,Permanent
49.271632,-123.12572,David Lam,Parks,Permanent
49.272394,-123.123289,David Lam,Parks,Permanent
49.285919,-123.120939,Discovery Square,Parks,Permanent
49.253089,-123.122317,Douglas,Parks,Permanent
49.251936,-123.122502,Douglas,Parks,Permanent
49.205406,-123.132849,Ebisu,Parks,Permanent
49.233484,-123.163401,Elm,Parks,Permanent
49.287419,-123.142573,English Bay,Parks,Permanent
49.286027,-123.143035,English Bay,Parks,Permanent
49.278896,-123.13802,English Bay,Parks,Permanent
49.254842,-123.029979,Falaise,Parks,Permanent
49.20713,-123.149337,Fraser River,Parks,Permanent
49.20642,-123.150808,Fraser River,Parks,Permanent
49.268389,-123.058428,Garden,Parks,Permanent
49.236498,-123.031411,Gaston,Parks,Permanent
49.212417,-123.093602,George,Parks,Permanent
49.271802,-123.129793,George Wainborn,Parks,Permanent
49.273736,-123.070126,Grandview,Parks,Permanent
49.240977,-123.084994,Grays,Parks,Permanent
49.26422,-123.095575,Guelph Park,Parks,Permanent
49.291228,-123.12327,Harbour Green,Parks,Permanent
